NSE/EXCELINFO,Excel Infoways Limited
NSE/TVSELECT,TVS Electronics Limited
NSE/UPERGANGES,Upper Ganges Sugar & Industries Limited
NSE/VTL,Vardhman Textiles Limited
NSE/ZENSARTECH,Zensar Technologies Limited
NSE/SUPREMETEX,Supreme Tex Mart Limited
NSE/MAHINDFORG,Mahindra Forgings Limited
NSE/KDDL,KDDL Limited
NSE/KEYCORPSER,Keynote Corporate Services Limited
NSE/RASOYPR,Rasoya Proteins Limited
NSE/NV20,National Stock Exchange of India (NSE) Stock Index - NV 20
NSE/PEPL,Pearl Engineering Polymers Limited
NSE/NAVKARCORP,Navkar Corporation Limited
NSE/EONELECT,Eon Electric Limited
NSE/NORTHGATE,Northgate Technologies Limited
NSE/ADVANIHOTR,Advani Hotels & Resorts (India) Limited
NSE/ARSHIYA,Arshiya Limited
NSE/AUSOMENT,Ausom Enterprise Limited
NSE/BANCOINDIA,Banco Products (I) Limited
NSE/BHARATFORG,Bharat Forge Limited
NSE/BOSCHLTD,Bosch Limited
NSE/CHEMFALKAL,Chemfab Alkalis Limited
NSE/COXKINGS,Cox & Kings Limited
NSE/DONEAR,Donear Industries Limited
NSE/EROSMEDIA,Eros International Media Limited
NSE/FINCABLES,Finolex Cables Limited
NSE/GEMINI,Gemini Communication Limited
NSE/GREAVESCOT,Greaves Cotton Limited
NSE/HERITGFOOD,Heritage Foods Limited
NSE/HMVL,Hindustan Media Ventures Limited
NSE/INDOTHAI,Indo Thai Securities Limited
NSE/ISMTLTD,ISMT Limited
NSE/JINDALPOLY,Jindal Poly Films Limited
NSE/KAVVERITEL,Kavveri Telecom Products Limited
NSE/KPIT,KPIT Technologies Limited
NSE/LIBERTSHOE,Liberty Shoes Limited
NSE/LYKALABS,Lyka Labs Limited
NSE/MIC,MIC Electronics Limited
NSE/MSPL,MSP Steel & Power Limited
NSE/OMMETALS,OM Metals Infraprojects Limited
NSE/PANAMAPET,Panama Petrochem Limited
NSE/PRIMESECU,Prime Securities Limited
NSE/RALLIS,Rallis India Limited
NSE/RELINFRA,Reliance Infrastructure Limited
NSE/SASKEN,Sasken Communication Technologies Limited
NSE/SHYAMCENT,Shyam Century Ferrous Limited
NSE/TATAMOTORS,Tata Motors Limited
NSE/UNIPLY,Uniply Industries Limited
NSE/VARDMNPOLY,Vardhman Polytex Limited
NSE/VIPIND,VIP Industries Limited
NSE/WENDT,Wendt (India) Limited
NSE/ALKEM,Alkem Laboratories Limited
NSE/AARVEEDEN,Aarvee Denims & Exports Limited
NSE/ADFFOODS,ADF Foods Limited
NSE/ALICON,Alicon Castalloy Limited
NSE/ASHOKLEY,Ashok Leyland Limited
NSE/ASTEC,Astec LifeSciences Limited
NSE/AXISBANK,Axis Bank Limited
NSE/BANG,Bang Overseas Limited
NSE/BASF,BASF India Limited
NSE/BRIGADE,Brigade Enterprises Limited
NSE/CCCL,Consolidated Construction Consortium Limited
NSE/CELEBRITY,Celebrity Fashions Limited
NSE/CINELINE,Cineline India Limited
NSE/COLPAL,Colgate Palmolive (India) Limited
NSE/DABUR,Dabur India Limited
NSE/DELTAMAGNT,Delta Magnets Limited
NSE/DIAPOWER,Diamond Power Infra Ltd
NSE/EIHOTEL,EIH Limited
NSE/FCL,Fineotex Chemical Limited
NSE/GAMMONIND,Gammon India Limited
NSE/GAL,Gyscoal Alloys Limited
NSE/GOKEX,Gokaldas Exports Limited
NSE/GSS,GSS Infotech Limited
NSE/GSPL,Gujarat State Petronet Limited
NSE/HBSTOCK,HB Stockholdings Limited
NSE/HTMEDIA,HT Media Limited
NSE/IDBIGOLD,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund
NSE/IMPAL,India Motor Parts and Accessories Limited
NSE/INDIANCARD,Indian Card Clothing Company Limited
NSE/INFRATEL,Bharti Infratel Limited
NSE/IZMO,IZMO Limited
NSE/JAYBARMARU,Jay Bharat Maruti Limited
NSE/JMTAUTOLTD,JMT Auto Limited
NSE/KAMDHENU,Kamdhenu Limited
NSE/JKPAPER,JK Paper Limited
NSE/KIRIINDUS,Kiri Industries Limited
NSE/KIRLOSIND,Kirloskar Industries Limited
NSE/KPRMILL,K.P.R. Mill Limited
NSE/LOKESHMACH,Lokesh Machines Limited
NSE/MADHUCON,Madhucon Projects Limited
NSE/MAHINDCIE,Mahindra CIE Automotive Limited
NSE/MARUTI,Maruti Suzuki India Limited
NSE/MONSANTO,Monsanto India Limited
NSE/NAGAROIL,Nagarjuna Oil Refinery Limited
NSE/NAHARPOLY,Nahar Poly Films Limited
NSE/NELCO,NELCO Limited
NSE/NIITLTD,NIIT Limited
NSE/OIL,Oil India Limited
NSE/ORISSAMINE,The Orissa Minerals Development Company Limited
NSE/OUDHSUG,The Oudh Sugar Mills Limited
NSE/PDUMJEIND,Pudumjee Industries Limited
NSE/PITTILAM,Pitti Laminations Limited
NSE/PIONEEREMB,Pioneer Embroideries Limited
NSE/PRECWIRE,Precision Wires India Limited
NSE/PREMIERPOL,Premier Polyfilm Limited
NSE/RADICO,Radico Khaitan Limited
NSE/REFEX,Refex Industries Limited
NSE/RELGOLD,R* Shares Gold ETF
NSE/SANGAMIND,Sangam (India) Limited
NSE/SESHAPAPER,Seshasayee Paper and Boards Limited
NSE/SHALPAINTS,Shalimar Paints Limited
NSE/SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
NSE/SIGNET,Signet Industries Limited
NSE/SMARTLINK,Smartlink Network Systems Limited
NSE/SOUTHBANK,The South Indian Bank Limited
NSE/SURYALAXMI,Suryalakshmi Cotton Mills Limited
NSE/TATAMETALI,Tata Metaliks Limited
NSE/TARMAT,Tarmat Limited
NSE/THYROCARE,Thyrocare Technologies Limited
NSE/TIIL,Technocraft Industries (India) Limited
NSE/TRITURBINE,Triveni Turbine Limited
NSE/TTL,T T Limited
NSE/UNIONBANK,Union Bank of India
NSE/VENUSREM,Venus Remedies Limited
NSE/VIVIDHA,Visagar Polytex Limited
NSE/VKSPL,VKS Projects Limited
NSE/WIPRO,Wipro Limited
NSE/WONDERLA,Wonderla Holidays Limited
NSE/CNX_NIFTY_JUNIOR,National Stock Exchange of India (NSE) Stock Index - Junior Nifty
NSE/CNXENERGY,National Stock Exchange of India Stock Index - CNX ENERGY
NSE/SITICABLE,Siti Cable Network Limited
NSE/SBTINTL,SB&T International Limited
NSE/NIFTY_200,National Stock Exchange of India (NSE) Stock Index - Nifty 200
NSE/HYDRBADIND,Hyderabad Industries Limited
NSE/KALECONSUL,Kale Consultants Limited
NSE/SALONA,Salona Cotspin Limited
NSE/GEODESIC,Geodesic Limited
NSE/BHARATFIN,Bharat Financial Inclusion Limited
NSE/SAMINDUS,SAM Industries Limited
NSE/KFA,Kingfisher Airlines Limited
NSE/SAKTHIFIN,Sakthi Finance Limited
NSE/AGRE,Agre Developers Limited
NSE/PIRLIFE,Piramal Life Sciences Limited
NSE/BSTRANSCOM,BS TransComm Limited
NSE/VARUN,Varun Industries Limited
NSE/RESURGERE,Resurgere Mines & Minerals India Limited
NSE/IDFCBANK,IDFC Bank Limited
NSE/COREEDUTEC,CORE Education & Technologies Limited
NSE/WANBURY,Wanbury Limited
NSE/AICHAMP,AI Champdany Industries Limited
NSE/ZENITHCOMP,Zenith Computers Limited
NSE/CMAHENDRA,C. Mahendra Exports Limited
NSE/HELIOSMATH,Helios And Matheson Information Technology Limited
NSE/INNOIND,Innoventive Industries Limited
NSE/SOFTTECHGR,Software Technology Group International Limited
NSE/PLETHICO,Plethico Pharmaceuticals Limited
NSE/REISIXTEN,REI Six Ten Retail Limited
NSE/SIRPAPER,The Sirpur Paper Mills Limited
NSE/CINEMAX,Cinemax India Limited
NSE/WELPROJ,Welspun Projects Limited
NSE/BELLCERATL,Bell Ceramics Limited
NSE/PANCHSHEEL,Panchsheel Organics Limited
NSE/KITPLYIND,Kitply Industries Limited
NSE/ALANKIT,Alankit Limited
NSE/NUMERICPW,Numeric Power Systems Limited
NSE/DALMIABEL,Dalmia Bharat Enterprises Limited
NSE/PILIND,Peacock Industries Limited
NSE/DCB,Development Credit Bank Limited
NSE/NAVNETPUBL,Navneet Publications India Limited
NSE/UTVSOF,UTV Software Communications Limited
NSE/ATNINTER,ATN International Limited
NSE/NCOPPER,Nissan Copper Limited
NSE/TELEMARINE,Teledata Marine Solutions Limited
NSE/DUNCANSLTD,Duncans Industries Limited
NSE/BATLIBOI,Batliboi Limited
NSE/NEYVELILIG,Neyveli Lignite Corporation Limited
NSE/HGSL,Hinduja Global Solutions Limited
NSE/KSOILS,K S Oils Limited
NSE/JUPITER,Jupiter Bioscience Limited
NSE/NATNLSTEEL,National Steel And Agro Industries Limited
NSE/TULSYAN,Tulsyan Nec Limited
NSE/SAYAJIHOTL,Sayaji Hotels Limited
NSE/KOVAI,Kovai Medical Center & Hospital Limited
NSE/CILNOVA,CIL Nova Petrochemicals Limited
NSE/NICCO,Nicco Corporation Limited
NSE/BGLOBAL,Bharatiya Global Infomedia Limited
NSE/GKB,GKB Ophthalmics Limited
NSE/ACKRUTI,Ackruti City Limited
NSE/LANCOIN,Lanco Industries Limited
NSE/PERIATEA,The Peria Karamalai Tea & Produce Company Limited
NSE/WELGLOB,Welspun Global Brands Limited
NSE/AMAR,Amar Remedies Limited
NSE/KOPDRUGS,KDL Biotech Limited
NSE/ZUARIAGRO,Zuari Industries Limited
NSE/KLRF,KLRF Limited
NSE/SATYAMCOMP,Satyam Computer Services Limited
NSE/FOURSOFT,Four Soft Limited
NSE/ABHISHEK,Abhishek Corporation Limited
NSE/HORIZONINF,Horizon Infrastructure Limited
NSE/INV20,ICICIPRAMC - INV20
NSE/FUTUREVENT,Future Ventures India Limited
NSE/FCH,Future Capital Holdings Limited
NSE/SIMPLEXCAS,Simplex Castings Limited
NSE/KRITIIND,Kriti Industries (India) Limited
NSE/ZEENEWS,Zee News Limited
NSE/INEABS,INEOS ABS (India) Limited
NSE/SBIGETS,SBI Mutual Fund - Gold ETF
NSE/ASTERSILI,Aster Silicates Limited
NSE/GSLNOVA,GSL Nova Petrochemicals Limited
NSE/NOL,National Oxygen Limited
NSE/MIDCAPIWIN,ICICI Prudential Midcap Select ETF
NSE/DENSO,Denso India Limited
NSE/HIRAFERRO,Hira Ferro Alloys Limited
NSE/BALPHARMA,Bal Pharma Limited
NSE/SURYAPHARM,Surya Pharmaceutical Limited
NSE/CNXFINANCE,National Stock Exchange of India Stock Index - CNX FINANCE
NSE/NIFTYMIDCAP,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50
NSE/IPGETF,ICICI Prudential Mutual Fund-ICICI Prudential Gold Exchange Traded Fund
NSE/PROVOGUE,Provogue (India) Limited
NSE/WWIL,Wire and Wireless (India) Limited
NSE/EMPEESUG,Empee Sugars and Chemicals Limited
NSE/CLUTCHAUTO,Clutch Auto Limited
NSE/UNIPHOS,United Phosphorus Limited
NSE/CPIL,Career Point Infosystems Limited
NSE/PALRED,Palred Technologies Limited
NSE/PARAL,Parekh Aluminex Limited
NSE/ARL,Arvind Remedies Limited
NSE/LUMAXAUTO,Lumax Automotive Systems Limited
NSE/LICNFNHGP,LICNAMC - LICNFNHGP
NSE/CNX_DEFTY,National Stock Exchange of India (NSE) Stock Index - CNX Defty
NSE/GLORY,Glory Polyfilms Limited
NSE/HCIL,Himadri Chemicals and Industries Limited
NSE/DRDATSONS,Dr. Datson's Labs Limited
NSE/DCMSRMCONS,DCM Shriram Consolidated Limited
NSE/IOLN,IOL Netcom Limited
NSE/SHREEASHTA,Shree Ashtavinayak Cine Vision Limited
NSE/BLUECHIP,Blue Chip India Limited
NSE/CNX_MNC,National Stock Exchange of India (NSE) Stock Index - CNX MNC
NSE/CEATLTD,CEAT Limited
NSE/CONTROLPR,Control Print Limited
NSE/DCMSHRIRAM,DCM Shriram Limited
NSE/NILAINFRA,Nila Infrastructures Limited
NSE/QUESS,Quess Corp Limited
NSE/RANEENGINE,Rane Engine Valve Limited
NSE/UMANGDAIRY,Umang Dairies Limited
NSE/JUMBO,Jumbo Bag Limited
NSE/BANARBEADS,Banaras Beads Limited
NSE/LYPSAGEMS,Lypsa Gems & Jewellery Limited
NSE/SHARDACROP,Sharda Cropchem Limited
NSE/PATNI,Patni Computer Systems Limited
NSE/CAMBRIDGE,Cambridge Solutions Limited
NSE/LLOYDFIN,Lloyds Finance Limited
NSE/INDIAINFO,India Infoline Limited
NSE/SALONACOT,Salona Cotspin Limited
NSE/CRONIMET,Cronimet Alloys India Limited
NSE/CNX_500,National Stock Exchange of India (NSE) Stock Index - CNX 500
NSE/NANDAN,Nandan Exim Limited
NSE/MICROTECH,Micro Technologies (India) Limited
NSE/CLASSIC,Classic Diamonds (India) Limited
NSE/SHARRESLTD,Sharyans Resources Limited
NSE/SUNCLAYTON,Sundaram Clayton Limited
NSE/INDUSFILA,Indus Fila Limited
NSE/DEWANHOUS,Dewan Housing Finance Corporation Limited
NSE/CAROLINFO,Carol Info Services Limited
NSE/AVENTIS,Aventis Pharma Limited
NSE/DUNCANSIND,Duncans Industries Limited
NSE/PIRHEALTH,Piramal Healthcare Limited
NSE/CINEPRO,Cinemax Properties Limited
NSE/NIFTY100_LIQ_15,National Stock Exchange of India (NSE) Stock Index - Nifty100 LIQ 15
NSE/BIMETAL,Bimetal Bearings Limited
NSE/NEOCORP,Neo Corp International Limited
NSE/AARTIIND,Aarti Industries Limited
NSE/AFL,Accel Frontline Limited
NSE/AJMERA,Ajmera Realty & Infra India Limited
NSE/ALKALI,Alkali Metals Limited
NSE/ANSALAPI,Ansal Properties & Infrastructure Limited
NSE/ANDHRACEMT,Andhra Cements Limited
NSE/ASHIMASYN,Ashima Limited
NSE/ASHAPURMIN,Ashapura Minechem Limited
NSE/AXISGOLD,Axis Mutual Fund - Axis Gold ETF
NSE/BEPL,Bhansali Engineering Polymers Limited
NSE/BIRLAMONEY,Aditya Birla Money Limited
NSE/BSLNIFTY,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth
NSE/CARBORUNIV,Carborundum Universal Limited
NSE/CHENNPETRO,Chennai Petroleum Corporation Limited
NSE/CLNINDIA,Clariant Chemicals (India) Limited
NSE/CPSEETF,Goldman Sachs Mutual Fund - CPSE ETF - Growth Option
NSE/CROMPGREAV,Crompton Greaves Limited
NSE/DELTACORP,Delta Corp Limited
NSE/DHARSUGAR,Dharani Sugars & Chemicals Limited
NSE/EASTSILK,Eastern Silk Industries Limited
NSE/EDELWEISS,Edelweiss Financial Services Limited
NSE/ESABINDIA,Esab India Limited
NSE/FILATEX,Filatex India Limited
NSE/FINANTECH,Financial Technologies (India) Limited
NSE/GDL,Gateway Distriparks Limited
NSE/GEOJITBNPP,Geojit BNP Paribas Financial Services Limited
NSE/GMRINFRA,GMR Infrastructure Limited
NSE/HANUNG,Hanung Toys and Textiles Limited
NSE/HCL_INSYS,HCL Infosystems Limited
NSE/HGS,Hinduja Global Solutions Limited
NSE/HINDOILEXP,Hindustan Oil Exploration Company Limited
NSE/IBREALEST,Indiabulls Real Estate Limited
NSE/IBVENTURES,Indiabulls Ventures Limited
NSE/INDHOTEL,The Indian Hotels Company Limited
NSE/INDIACEM,The India Cements Limited
NSE/INGERRAND,Ingersoll Rand (India) Limited
NSE/JAYNECOIND,Jayaswal Neco Industries Limited
NSE/JINDALSAW,Jindal Saw Limited
NSE/JMA,Jullundur Motor Agency (Delhi) Limited
NSE/JUBLFOOD,Jubilant Foodworks Limited
NSE/KARURVYSYA,Karur Vysya Bank Limited
NSE/KKCL,Kewal Kiran Clothing Limited
NSE/KOTHARIPRO,Kothari Products Limited
NSE/LALPATHLAB,Dr. Lal Path Labs Ltd.
NSE/MADRASFERT,Madras Fertilizers Limited
NSE/MANALIPETC,Manali Petrochemicals Limited
NSE/MOLDTECH,Mold-Tek Technologies Limited
NSE/MRO_TEK,MRO-TEK Limited
NSE/NATIONALUM,National Aluminium Company Limited
NSE/NECLIFE,Nectar Lifesciences Limited
NSE/NHPC,NHPC Limited
NSE/NLCINDIA,NLC India Limited
NSE/NMDC,NMDC Limited
NSE/OCL,OCL India Limited
NSE/PARACABLES,Paramount Communications Limited
NSE/PDSMFL,PDS Multinational Fashions Limited
NSE/PFOCUS,Prime Focus Limited
NSE/PNB,Punjab National Bank
NSE/PONNIERODE,Ponni Sugars (Erode) Limited
NSE/PSUBNKBEES,Goldman Sachs PSU Bank Exchange Traded Scheme
NSE/PTC,PTC India Limited
NSE/RATNAMANI,Ratnamani Metals & Tubes Limited
NSE/REVATHI,Revathi Equipment Limited
NSE/REPCOHOME,Repco Home Finance Limited
NSE/SANDESH,The Sandesh Limited
NSE/SARDAEN,Sarda Energy & Minerals Limited
NSE/SELAN,Selan Exploration Technology Limited
NSE/SHRENUJ,Shrenuj & Company Limited
NSE/SHYAMTEL,Shyam Telecom Limited
NSE/SMSPHARMA,SMS Pharmaceuticals Limited
NSE/SONASTEER,Sona Koyo Steering Systems Limited
NSE/TAKE,Take Solutions Limited
NSE/TECHNOFAB,Technofab Engineering Limited
NSE/TIDEWATER,Tide Water Oil Company (India) Limited
NSE/TRIL,Transformers And Rectifiers (India) Limited
NSE/TREEHOUSE,Tree House Education & Accessories Limited
NSE/UNIENTER,Uniphos Enterprises Limited
NSE/UTTAMSUGAR,Uttam Sugar Mills Limited
NSE/VESUVIUS,Vesuvius India Limited
NSE/VSTTILLERS,V.S.T Tillers Tractors Limited
NSE/WELINV,Welspun Investments and Commercials Limited
NSE/ZANDUREALT,Zandu Realty Limited
NSE/VIJIFIN,Viji Finance Limited
NSE/CAMLIN,Camlin Limited
NSE/JIKIND,JIK Industries Limited
NSE/ELFORGE,EL Forge Limited
NSE/SRHHLINDST,SRHHL Industries Limited
NSE/PROZONECSC,Prozone Capital Shopping Centres Limited
NSE/ELNET,Elnet Technologies Limited
NSE/DHANUS,Dhanus Technologies Limited
NSE/AXIS_ITT,Axis-IT&T Limited
NSE/CNXMEDIA,National Stock Exchange of India Stock Index - CNX MEDIA
NSE/HITACHIHOM,Hitachi Home and Life Solutions (India) Limited
NSE/KHANDSE,Khandwala Securities Limited
NSE/MAXINDIA,Max India Limited
NSE/MANDHANA,Mandhana Industries Limited
NSE/SETFGOLD,SBI-ETF Gold
NSE/AIL,Alstom India Limited
NSE/DUCON,Ducon Infratechnologies Limited
NSE/CNX_200,National Stock Exchange of India (NSE) Stock Index - CNX 200
NSE/CNX_NIFTY_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX Nifty Shariah
NSE/NIFTY_PSE,National Stock Exchange of India (NSE) Stock Index - Nifty PSE
NSE/NI15,National Stock Exchange of India (NSE) Stock Index - NI15
NSE/KOUTONS,Koutons Retail India Limited
NSE/PRETAILDVR,Pantaloon Retail (India) Limited
NSE/RDEL,Reliance Defence and Engineering Limited
NSE/WYETH,Wyeth Limited
NSE/TCPLTD,TCP Limited
NSE/KARURKCP,Karur K.C.P. Packkagings Limited
NSE/DECOLIGHT,Decolight Ceramics Limited
NSE/ESSARPORTS,Essar Ports Limited
NSE/AMARJOTHI,Amarjothi Spinning Mills Limited
NSE/PANCARBON,Panasonic Carbon India Company Limited
NSE/HALONIX,Halonix Limited
NSE/AFTEK,Aftek Limited
NSE/BRANDHOUSE,Brandhouse Retails Limited
NSE/SHLAKSHMI,Shri Lakshmi Cotsyn Limited
NSE/SETFNIFJR,SBIAMC - SETFNIFJR
NSE/SETFNIFTY,SBIAMC - SETFNIFTY
NSE/SIMBHSUGAR,Simbhaoli Sugars Limited
NSE/THEBYKE,The Byke Hospitality Limited
NSE/NANDANEXIM,Nandan Exim Limited
NSE/SRICHAMUND,Sri Chamundeswari Sugars Limited
NSE/CEBBCO,Commercial Engineers & Body Builders Co Limited
NSE/CENTURYPLY,Century Plyboards (India) Limited
NSE/TATAELXSI,Tata Elxsi Limited
NSE/TATAMTRDVR,Tata Motors Limited
NSE/TVSMOTOR,TVS Motor Company Limited
NSE/HINDMOTORS,Hindustan Motors Limited
NSE/FTCSF5YDIV,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y Dividend Option
NSE/TEXMACOLTD,Texmaco Limited
NSE/IBSEC,Indiabulls Securities Limited
NSE/IVRCLAH,IVRCL Assets & Holdings Limited
NSE/APOLSINHOT,Apollo Sindoori Hotels Limited
NSE/ADLABS,Adlabs Entertainment Limited
NSE/ALBK,Allahabad Bank
NSE/APLLTD,Alembic Pharmaceuticals Limited
NSE/3IINFOTECH,3i Infotech Limited
NSE/AARTIDRUGS,Aarti Drugs Limited
NSE/ACCELYA,Accelya Kale Solutions Limited
NSE/ABIRLANUVO,Aditya Birla Nuvo Limited
NSE/ABB,ABB India Limited
NSE/ACE,Action Construction Equipment Limited
NSE/ADANIENT,Adani Enterprises Limited
NSE/AEGISCHEM,Aegis Logistics Limited
NSE/AGCNET,AGC Networks Limited
NSE/AGARIND,Agarwal Industrial Corporation Limited
NSE/AHLUCONT,Ahluwalia Contracts (India) Limited
NSE/AHLEAST,Asian Hotels (East) Limited
NSE/AIAENG,AIA Engineering Limited
NSE/AKZOINDIA,Akzo Nobel India Limited
NSE/AHLWEST,Asian Hotels (West) Limited
NSE/AKSHOPTFBR,Aksh Optifibre Limited
NSE/AJANTPHARM,Ajanta Pharma Limited
NSE/ALEMBICLTD,Alembic Limited
NSE/ALKYLAMINE,Alkyl Amines Chemicals Limited
NSE/ALLSEC,Allsec Technologies Limited
NSE/ALMONDZ,Almondz Global Securities Limited
NSE/ALLCARGO,Allcargo Logistics Limited
NSE/ALOKTEXT,Alok Industries Limited
NSE/AMARAJABAT,Amara Raja Batteries Limited
NSE/AMBIKCO,Ambika Cotton Mills Limited
NSE/ALPHAGEO,Alphageo (India) Limited
NSE/AROGRANITE,Aro Granite Industries Limited
NSE/AMTEKAUTO,Amtek Auto Limited
NSE/AMTL,Advance Metering Technology Limited
NSE/ARSSINFRA,ARSS Infrastructure Projects Limited
NSE/ANDHRABANK,Andhra Bank
NSE/AMRUTANJAN,Amrutanjan Health Care Limited
NSE/ANANTRAJ,Anant Raj Limited
NSE/APARINDS,Apar Industries Limited
NSE/ANGIND,ANG Industries Limited
NSE/APOLLOHOSP,Apollo Hospitals Enterprise Limited
NSE/APLAPOLLO,APL Apollo Tubes Limited
NSE/APCOTEXIND,Apcotex Industries Limited
NSE/ANDHRSUGAR,The Andhra Sugars Limited
NSE/ARIES,Aries Agro Limited
NSE/APTECHT,Aptech Limited
NSE/ARCHIDPLY,Archidply Industries Limited
NSE/ARIHANT,Arihant Foundations & Housing Limited
NSE/ARROWGREEN,Arrow Greentech Limited
NSE/ARROWTEX,Arrow Textiles Limited
NSE/BATAINDIA,Bata India Limited
NSE/ASAHIINDIA,Asahi India Glass Limited
NSE/ASHIANA,Ashiana Housing Limited
NSE/AXISCADES,AXISCADES Engineering Technologies Limited
NSE/ASAHISONG,Asahi Songwon Colors Limited
NSE/ASAL,Automotive Stampings and Assemblies Limited
NSE/ASSAMCO,Assam Company India Limited
NSE/ASIANTILES,Asian Granito India Limited
NSE/BAJAJFINSV,Bajaj Finserv Limited
NSE/ASIANPAINT,Asian Paints Limited
NSE/ASIANHOTNR,Asian Hotels (North) Limited
NSE/ASTRAL,Astral Poly Technik Limited
NSE/ASTRAZEN,AstraZeneca Pharma India Limited
NSE/ATULAUTO,Atul Auto Limited
NSE/ATLANTA,Atlanta Limited
NSE/CAIRN,Cairn India Limited
NSE/AURIONPRO,Aurionpro Solutions Limited
NSE/AUTOIND,Autoline Industries Limited
NSE/AUROPHARMA,Aurobindo Pharma Limited
NSE/AVANTIFEED,Avanti Feeds Limited
NSE/AUTOLITIND,Autolite (India) Limited
NSE/BAGFILMS,B.A.G Films and Media Limited
NSE/BAFNAPHARM,Bafna Pharmaceuticals Limited
NSE/ATFL,Agro Tech Foods Limited
NSE/BALAMINES,Balaji Amines Limited
NSE/BINANIIND,Binani Industries Limited
NSE/ASTRAMICRO,Astra Microwave Products Limited
NSE/BEL,Bharat Electronics Limited
NSE/BALKRISIND,Balkrishna Industries Limited
NSE/BAJAJCORP,Bajaj Corp Limited
NSE/BALRAMCHIN,Balrampur Chini Mills Limited
NSE/BANKBARODA,Bank of Baroda
NSE/BALMLAWRIE,Balmer Lawrie & Company Limited
NSE/BANARISUG,Bannari Amman Sugars Limited
NSE/BANKINDIA,Bank of India
NSE/BANKBEES,Goldman Sachs Banking Index Exchange Traded Scheme
NSE/BANSWRAS,Banswara Syntex Limited
NSE/BARTRONICS,Bartronics India Limited
NSE/CENTUM,Centum Electronics Limited
NSE/BASML,Bannari Amman Spinning Mills Limited
NSE/BAJAJ_AUTO,Bajaj Auto Limited
NSE/BAYERCROP,Bayer Cropscience Limited
NSE/BEDMUTHA,Bedmutha Industries Limited
NSE/BLUEBLENDS,Blue Blends (I) Limited
NSE/BHAGERIA,Bhageria Industries Limited
NSE/BGRENERGY,BGR Energy Systems Limited
